Mês,Código NCM,Descrição NCM,Países,UF do Produto,Via,Valor_USD,Kg_Liquido,Ano,Mes_Num,Preco_kg
02. Fevereiro,3011900,Outros peixes ornamentais vivos,Singapura,Rio de Janeiro,AEREA,991,9,2026,2,110.11111111111111
02. Fevereiro,3011900,Outros peixes ornamentais vivos,Japão,Rio de Janeiro,AEREA,3263,17,2026,2,191.94117647058823
02. Fevereiro,3011900,Outros peixes ornamentais vivos,Hong Kong,Rio de Janeiro,AEREA,4176,64,2026,2,65.25
02. Fevereiro,3011900,Outros peixes ornamentais vivos,Estados Unidos,Rio de Janeiro,AEREA,3810,11,2026,2,346.3636363636364
02. Fevereiro,3011900,Outros peixes ornamentais vivos,Alemanha,Rio de Janeiro,AEREA,1343,7,2026,2,191.85714285714286
03. Março,3011900,Outros peixes ornamentais vivos,Tailândia,Rio de Janeiro,AEREA,2700,17,2026,3,158.8235294117647
03. Março,3011900,Outros peixes ornamentais vivos,Hong Kong,Rio de Janeiro,AEREA,14324,100,2026,3,143.24
04. Abril,3011900,Outros peixes ornamentais vivos,Taiwan (Formosa),Rio de Janeiro,AEREA,5336,33,2026,4,161.6969696969697
04. Abril,3011900,Outros peixes ornamentais vivos,Singapura,Rio de Janeiro,AEREA,1803,16,2026,4,112.6875
04. Abril,3011900,Outros peixes ornamentais vivos,Singapura,Ceará,AEREA,2961,18,2026,4,164.5
04. Abril,3011900,Outros peixes ornamentais vivos,Japão,Rio de Janeiro,AEREA,5983,27,2026,4,221.59259259259258
04. Abril,3011900,Outros peixes ornamentais vivos,Hong Kong,Rio de Janeiro,AEREA,13483,105,2026,4,128.40952380952382
04. Abril,3011900,Outros peixes ornamentais vivos,Estados Unidos,Rio de Janeiro,AEREA,9946,30,2026,4,331.53333333333336
04. Abril,3011900,Outros peixes ornamentais vivos,China,São Paulo,AEREA,11380,174,2026,4,65.40229885057471
05. Maio,3011900,Outros peixes ornamentais vivos,Taiwan (Formosa),Rio de Janeiro,AEREA,2411,15,2026,5,160.73333333333332
05. Maio,3011900,Outros peixes ornamentais vivos,Sri Lanka,Rio de Janeiro,AEREA,4788,29,2026,5,165.10344827586206
05. Maio,3011900,Outros peixes ornamentais vivos,Hong Kong,Rio de Janeiro,AEREA,13534,97,2026,5,139.5257731958763
05. Maio,3011900,Outros peixes ornamentais vivos,Canadá,Rio de Janeiro,AEREA,1326,4,2026,5,331.5
